id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3,self
50001,1,2,rope,necklace,2,1,2,3
50002,1,2,rope,sculpture,2,2,2,3
50003,1,2,rope,used as pasta in a children's play,3,3,2,3
50004,1,2,rope,weave,2,2,2,3
50005,2,2,rope,climbing up trees  or other things,2,1,1,4
50006,2,2,rope,dangling something from a that has weight,1,1,1,5
50007,2,2,rope,exercising,2,1,1,5
50008,2,2,rope,hang someone,2,1,1,4
50009,2,2,rope,letting the be the and not mess with it,1,2,2,5
50010,2,2,rope,pulling an item with the,1,1,1,4
50011,2,2,rope,throwing a to reach something,1,2,1,4
50012,2,2,rope,trip someone,2,1,1,4
50014,3,2,rope,to hang thyself with,2,3,1,1
50015,3,2,rope,to hold in your hand as you walk down the aisle,2,3,2,5
50016,3,2,rope,to tie things together with it,1,1,1,1
50017,3,2,rope,to use it to hang up precious pictures of your 67 cats,3,5,5,5
50018,3,2,rope,to use to drag the small child you are supposed to be watching over around in the yard,2,3,4,4
50019,3,2,rope,to use to play with your dinosaur,2,2,3,5
50020,3,2,rope,to use to play with your dog,2,1,1,3
50021,3,2,rope,to use to play with your spider,2,2,2,4
50022,3,2,rope,to use to support your makeshift raft off the coast of France,3,3,4,4
50023,5,2,rope,cut into pieces for hair pieces for a little girl,3,3,2,2
50024,5,2,rope,playing a game called red rover,2,3,1,2
50025,5,2,rope,training a dog to jump,3,3,2,3
50026,5,2,rope,tug of war,1,1,1,1
50027,6,2,rope,play tug of war,1,1,1,1
50028,6,2,rope,use a makeshift handcuffs,2,2,1,3
50029,6,2,rope,use as a belt,2,1,1,5
50030,6,2,rope,use it to hold things together,1,1,1,2
50031,6,2,rope,use it to pull a car,2,1,1,1
50032,7,2,rope,a belt for dress up,2,1,1,4
50033,7,2,rope,jump,1,1,1,2
50034,7,2,rope,leash for stuffed animals,3,1,2,3
50035,7,2,rope,limbo,2,2,1,2
50036,7,2,rope,playing in a rodeo,2,1,1,3
50037,7,2,rope,pretend to be a gymnast  and use as a balance beam,3,3,2,4
50038,7,2,rope,scarf for dress up,3,2,2,4
50039,7,2,rope,tug war,1,1,1,2
50040,7,2,rope,tying yourself to another person,1,1,1,3
50041,8,2,rope,tie it to a  box and pull some one around,1,1,1,3
50042,9,2,rope,booby traps,2,2,1,4
50043,9,2,rope,jump,1,1,1,1
50044,9,2,rope,make a birds nest,5,3,2,3
50045,9,2,rope,making a fishing net,2,2,1,5
50046,9,2,rope,making a hammock,1,2,2,5
50047,9,2,rope,making a whip,2,1,1,2
50048,9,2,rope,making it look like a snake to scare people,2,2,2,3
50049,9,2,rope,placing it on a high tree and climbing it,2,1,1,2
50050,9,2,rope,playing helicopter,1,3,1,1
50051,9,2,rope,swing,2,1,1,3
50052,9,2,rope,Tarzan,1,1,2,2
50053,10,2,rope,ankle bracelet,2,2,2,5
50054,10,2,rope,belt,2,1,1,2
50055,10,2,rope,bow tie,3,2,2,5
50056,10,2,rope,bracelet,2,1,2,3
50057,10,2,rope,head band,2,1,2,3
50058,10,2,rope,jump,1,1,1,1
50059,10,2,rope,lasso,2,1,1,1
50060,10,2,rope,necklace,2,1,2,4
50061,10,2,rope,shirt,1,1,1,5
50062,10,2,rope,to tie someone up,2,1,1,1
50063,10,2,rope,weapon,1,1,1,1
50064,11,2,rope,as a border for a table,4,2,2,2
50065,11,2,rope,As a play toy for a cat,2,2,1,2
50066,11,2,rope,As a way to hang a scary figure in a closet on Halloween,2,3,3,4
50067,11,2,rope,Make it into a purse or hat,1,2,2,3
50068,12,2,rope,bag strap,3,2,1,4
50069,12,2,rope,bracelet,2,1,2,3
50070,12,2,rope,braided into wall art,3,2,2,5
50071,12,2,rope,curtain tie,2,2,2,3
50072,12,2,rope,decorating,1,1,1,5
50073,12,2,rope,dog leash,2,1,1,2
50074,12,2,rope,fishing,2,1,1,3
50075,12,2,rope,fringe the ends for cute tassels,3,3,2,5
50076,12,2,rope,hair bow,2,1,2,4
50077,12,2,rope,hang tire,2,1,1,2
50078,12,2,rope,making vases,3,3,2,5
50079,12,2,rope,necklace,2,1,2,3
50080,12,2,rope,picture hanger,2,2,2,3
50081,12,2,rope,pig leash,2,1,2,2
50082,12,2,rope,pull a wagon,3,1,1,2
50083,12,2,rope,restraint,2,1,1,2
50084,12,2,rope,ring,2,2,2,4
50085,12,2,rope,tool to learn how to braid,2,3,2,4
50086,13,2,rope,A bad hair piece,5,3,3,5
50087,13,2,rope,A stylish belt,2,1,1,2
50088,13,2,rope,An arm or leg accessory,1,1,1,2
50089,13,2,rope,Putting it around a cup like a coozy,5,3,2,4
50090,14,2,rope,anchoring objects to each  other,1,1,1,2
50091,14,2,rope,jump,1,1,1,3
50092,14,2,rope,leash,2,1,1,2
50093,14,2,rope,measuring,3,2,2,1
50094,14,2,rope,pendulum,3,3,2,3
50095,14,2,rope,pet snake,2,1,2,4
50096,14,2,rope,pulley,1,1,1,4
50097,14,2,rope,swing,2,1,1,4
50098,14,2,rope,traps,2,1,1,3
50099,14,2,rope,tug of war,1,1,1,2
50100,14,2,rope,whip,2,1,1,3
50101,15,2,rope,awful whip,3,1,1,4
50102,15,2,rope,Frey it  then tickle strangers,3,4,3,5
50103,15,2,rope,if I ever need to get out of a high floor of a building  I could zipline with it,3,2,1,4
50104,15,2,rope,jump,1,1,1,2
50105,15,2,rope,learn to lasso,2,1,1,3
50106,15,2,rope,thick shoestrings,2,1,1,3
50107,15,2,rope,tie myself to people I want to get to know better,4,3,3,4
50108,15,2,rope,tie things together,1,1,1,1
50109,17,2,rope,hair,2,1,2,1
50110,17,2,rope,jump,1,1,1,1
50111,17,2,rope,keychain,2,2,2,1
50112,17,2,rope,ladder,2,1,1,3
50113,17,2,rope,lasso,2,1,1,1
50114,17,2,rope,leash,2,1,1,4
50115,17,2,rope,noose,2,1,1,1
50116,17,2,rope,pulley,1,1,1,3
50117,17,2,rope,snake,2,1,2,1
50118,17,2,rope,tie,1,1,1,1
50119,18,2,rope,hair,2,1,2,5
50120,18,2,rope,jump,1,1,1,1
50121,18,2,rope,as a energy drink,1,2,1,5
50122,18,2,rope,as a ride to class,1,2,1,5
50123,18,2,rope,as an alarm clock,1,3,1,5
50124,18,2,rope,for hair,2,1,2,5
50125,18,2,rope,for tree,1,1,1,5
50126,18,2,rope,that will cook,1,1,1,5
50127,18,2,rope,that will wash clothes,3,2,1,5
50128,18,2,rope,to call people,2,1,1,5
50129,18,2,rope,to climb a bridge,2,1,1,3
50130,18,2,rope,to do my homework,1,1,1,5
50131,18,2,rope,to drive with,1,1,1,5
50132,18,2,rope,to fly in air,1,2,1,5
50133,18,2,rope,to polish my toenails,4,2,1,5
50134,18,2,rope,to pull things,1,1,1,5
50135,18,2,rope,to ride waves at the beach,1,3,1,5
50136,18,2,rope,to text others,1,2,1,5
50137,18,2,rope,to tie hair up,2,1,1,2
50138,18,2,rope,to turn the television channel,2,2,1,5
50139,18,2,rope,to type on the computer,1,1,1,5
50140,18,2,rope,to wash clothes,2,2,1,5
50141,18,2,rope,to write things down,1,2,2,5
50142,18,2,rope,tug war,1,1,1,1
50143,19,2,rope,a bowtie,3,2,2,5
50144,19,2,rope,a swing set in the bedroom,1,3,2,5
50145,19,2,rope,shoe lace,2,1,1,2
50146,19,2,rope,tear it to it smallest string and make a longer,3,1,2,5
50147,19,2,rope,to transport something from one distance to the next,2,1,1,3
50148,21,2,rope,blind fold someone,3,2,2,3
50149,21,2,rope,exercise tie legs together and move around,3,1,2,2
50150,21,2,rope,floss,3,2,4,5
50151,21,2,rope,grab items,2,1,1,1
50152,21,2,rope,hair bow,2,1,2,3
50153,21,2,rope,hair weave,2,2,2,4
50154,21,2,rope,pull a tooth,2,2,2,3
50155,21,2,rope,save a life,1,1,1,1
50156,21,2,rope,strap a sex partner down,2,1,2,4
50157,21,2,rope,whip someone,2,1,1,3
50158,22,2,rope,a braid,1,1,2,2
50159,22,2,rope,a burn it,2,1,2,2
50160,22,2,rope,a choker,2,1,2,3
50161,22,2,rope,a fake ponytail,3,3,2,2
50162,22,2,rope,a hair piece,2,1,2,3
50163,22,2,rope,a marker,3,2,1,2
50164,22,2,rope,a sex toy,2,1,2,5
50165,22,2,rope,a shoestring,2,1,2,1
50166,22,2,rope,a stick it in between your butt,2,1,3,5
50167,22,2,rope,a tease someone,1,2,2,5
50168,22,2,rope,fake underarm hair,4,4,5,3
50169,22,2,rope,to bite it,2,1,2,2
50170,22,2,rope,to catch stuff,1,1,1,1
50171,22,2,rope,to chew on it,2,1,2,2
50172,22,2,rope,to create a trap door,3,3,2,2
50173,22,2,rope,to diet,1,2,2,2
50174,22,2,rope,to leave a trail,3,2,2,2
50175,22,2,rope,to make more out of it,3,1,2,1
50176,22,2,rope,to pull stuff,1,1,1,1
50177,22,2,rope,to smack it with chalk,1,2,2,3
50178,22,2,rope,to tie things with it,1,1,1,1
50179,22,2,rope,to touch something that is out of reach,3,1,1,2
50180,22,2,rope,to whip someone with it,2,1,1,3
50181,23,2,rope,Practice your whip skills  like Indiana Jones,3,1,2,3
50182,23,2,rope,Pretend a is a snake,2,1,2,4
50183,23,2,rope,You can make a kite string from,2,3,1,2
50184,23,2,rope,You can make a swing out of some,2,1,1,2
50185,23,2,rope,You can make a wristband/necklace out of,2,1,2,3
50186,24,2,rope,arm or leg brace,4,2,2,3
50187,24,2,rope,bracelet,2,1,2,2
50188,24,2,rope,hair accessory,2,1,2,2
50189,24,2,rope,hitting the ground,1,1,1,4
50190,24,2,rope,jump,1,1,1,1
50191,24,2,rope,pulling a door open or shut,1,1,1,4
50192,24,2,rope,tying up books for school,1,2,1,3
50193,24,2,rope,using as a hat  head wrap,2,2,1,2
50194,24,2,rope,wearing as a belt,2,1,1,2
50195,24,2,rope,wrap around as clothes,3,1,2,2
50196,25,2,rope,as a belt,2,1,1,3
50197,25,2,rope,as decorations,2,1,1,4
50198,25,2,rope,ear rings,2,2,2,5
50199,25,2,rope,fashion,2,2,2,4
50200,25,2,rope,hair ties,2,1,2,5
50201,25,2,rope,head wear,2,1,2,5
50202,25,2,rope,rings,2,2,2,5
50203,25,2,rope,to make shoes,3,1,2,4
50204,25,2,rope,use as a dog leash,2,1,1,1
50205,25,2,rope,used for working out,2,1,1,3
50206,25,2,rope,used to be a fake tail,2,3,2,2
50207,25,2,rope,used to hang ear rings,2,3,2,5
50208,26,2,rope,belt,2,1,1,4
50209,26,2,rope,bracelet,2,1,2,4
50210,26,2,rope,clothes line,2,1,1,4
50211,26,2,rope,floss,3,2,4,4
50212,26,2,rope,jump,1,1,1,4
50213,26,2,rope,median,1,2,2,4
50214,26,2,rope,necklace,2,1,2,4
50215,26,2,rope,rock climbing,2,1,1,4
50216,26,2,rope,shoe lace,2,1,1,4
50217,26,2,rope,swing,2,1,1,4
50218,26,2,rope,trap,2,1,1,3
50219,26,2,rope,underwear,2,2,2,3
50220,27,2,rope,Building a swing,1,1,1,1
50221,27,2,rope,Jumping jacks,1,1,1,1
50222,27,2,rope,lasso,2,1,1,1
50223,27,2,rope,Mouse trap,3,3,2,3
50224,27,2,rope,Neck tie,3,2,2,5
50225,27,2,rope,Picking your nose,3,2,2,5
50226,27,2,rope,playing the violin,5,3,2,5
50227,27,2,rope,slingshot when the violin playing doesn't work out,4,3,4,5
50228,27,2,rope,Tie up a girl that wants it dirty in the bedroom,1,1,2,5
50229,27,2,rope,Tie up a little girl so she can not run away anymore,1,1,1,2
50230,27,2,rope,Tug of war,1,1,1,1
50231,28,2,rope,belt,2,1,1,3
50232,28,2,rope,bracelet,2,1,2,3
50233,28,2,rope,dog toy,2,1,1,3
50234,28,2,rope,lifesaver,2,1,1,5
50235,28,2,rope,necklace,2,1,2,3
50236,28,2,rope,restraint,2,1,1,4
50237,28,2,rope,shoestring,2,1,1,3
50238,28,2,rope,tool,1,1,1,4
50239,28,2,rope,weapon,1,1,1,4
50240,29,2,rope,cat scratcher,3,3,2,2
50241,29,2,rope,entertainment material play games with it,2,1,2,3
50242,29,2,rope,knitting supply,3,3,2,4
50243,29,2,rope,measurement material,3,2,2,5
50244,30,2,rope,a leash for the dog,2,1,1,1
50245,30,2,rope,climb a tree,2,1,1,3
50246,30,2,rope,climb out of house,2,1,1,3
50247,30,2,rope,jump,1,1,1,1
50248,30,2,rope,pretend you're a cowboy,2,2,1,3
50249,30,2,rope,swing like Tarzan,2,1,2,5
50250,30,2,rope,wear it as a belt,2,1,1,4
50251,31,2,rope,bed,2,1,2,3
50252,31,2,rope,book bag,1,2,1,3
50253,31,2,rope,cloth,4,1,2,3
50254,31,2,rope,computer or phone protector,2,3,2,5
50255,31,2,rope,exercise,2,1,1,1
50256,31,2,rope,flash drive,2,2,2,3
50257,31,2,rope,flying a kite,2,2,1,1
50258,31,2,rope,hair,2,1,2,3
50259,31,2,rope,jump,1,1,1,1
50260,31,2,rope,keyboard,1,2,1,4
50261,31,2,rope,ladder,2,1,1,3
50262,31,2,rope,make a dress,2,1,2,2
50263,31,2,rope,make ribbons,2,2,2,3
50264,31,2,rope,paper,3,1,2,3
50265,31,2,rope,pencils,1,2,2,3
50266,31,2,rope,pulling someone or something,1,1,1,1
50267,31,2,rope,scarf,3,2,2,3
50268,31,2,rope,tight people up,1,1,1,2
50269,32,2,rope,A belt,2,1,1,3
50270,32,2,rope,A form of handcuffs,2,1,1,5
50271,32,2,rope,A necklace,2,1,2,5
50272,32,2,rope,Hang someone,2,1,1,1
50273,32,2,rope,Jump roping,1,1,1,4
50274,32,2,rope,Pull a vehicle,2,1,1,2
50275,32,2,rope,Rodeo,2,1,1,1
50276,32,2,rope,Roping your rump,1,2,1,5
50277,32,2,rope,Telephone,2,1,2,5
50278,32,2,rope,Whip,2,1,1,2
50279,32,2,rope,Zip lining,2,1,1,3
50280,33,2,rope,You could use it for decoration  by maybe using it to frame a picture  or rap around some object,2,2,2,2
50281,34,2,rope,Attach feathers to it  tie it to a ceiling fan  and watch your cat go wild,5,5,2,3
50282,34,2,rope,Break it down to the individual fibers  and weave a piece of cloth,5,3,3,4
50283,34,2,rope,Bury it in the dirt or sand and pull it out to trip someone,3,2,2,4
50284,34,2,rope,Make a hula-hoop,3,3,2,4
50285,34,2,rope,Make a lasso,2,1,1,4
50286,34,2,rope,Scale a wall,2,1,1,2
50287,34,2,rope,Use it as a whip,2,1,1,1
50288,34,2,rope,Use it to measure the circumference of something,3,3,2,2
50289,34,2,rope,Use it to pull a rock or boulder over,2,1,1,2
50290,34,2,rope,Use it to shimmy up a tree,3,2,1,5
50291,34,2,rope,Use it to tickle someone,2,2,2,4
50292,34,2,rope,Wrap your forearms with for protection in martial combat,4,3,2,5
50293,35,2,rope,catching a horse,2,1,1,4
50294,35,2,rope,catching fish,3,1,1,4
50295,35,2,rope,choking,2,1,1,3
50296,35,2,rope,cut off circulation,2,1,2,3
50297,35,2,rope,handcuffs during sex,2,1,1,5
50298,35,2,rope,hanging ,2,1,1,3
50299,35,2,rope,kidnapping,2,1,1,3
50300,35,2,rope,mark starting points during a race,3,3,1,5
50301,35,2,rope,playing a game,1,1,1,4
50302,35,2,rope,pull someone,2,1,1,3
50303,35,2,rope,pull things back together,2,1,1,5
50304,35,2,rope,pulling someone,1,1,1,3
50305,35,2,rope,swinging,2,1,1,5
50306,35,2,rope,tie hands and feet during sex  trap,1,1,2,5
50307,35,2,rope,to measure a pregnant belly,3,3,4,5
50308,35,2,rope,to measure height,3,2,2,4
50309,35,2,rope,to measure width,2,2,2,4
50310,35,2,rope,tree houses,1,2,1,4
50311,36,2,rope,dog,1,1,1,4
50312,36,2,rope,latter,1,1,1,5
50313,36,2,rope,pull,2,1,1,3
50314,36,2,rope,swing,2,1,1,5
50315,36,2,rope,tie,1,1,1,3
50316,36,2,rope,tug of war,1,1,1,4
50317,37,2,rope,build bridge,2,2,2,3
50318,37,2,rope,drag things,2,1,1,2
50319,37,2,rope,hold things,1,1,1,2
50320,37,2,rope,hold things together,1,1,1,2
50321,37,2,rope,holding things,1,1,1,1
50322,37,2,rope,jumping,1,1,1,1
50323,37,2,rope,pulling,1,1,1,1
50324,37,2,rope,pulling,1,1,1,2
50325,37,2,rope,swinging,2,1,1,3
50326,37,2,rope,to climb things,2,1,1,1
50327,37,2,rope,travel,1,1,1,3
50328,37,2,rope,tying,1,1,1,1
50329,37,2,rope,walk on,2,1,1,3
50330,38,2,rope,for your mom,2,1,1,4
50331,38,2,rope,I could use it as a lasso and not have to get out of my chair,3,3,2,5
50332,38,2,rope,kinky sex,2,2,2,3
50333,38,2,rope,maybe a prank,1,2,1,4
50334,38,2,rope,maybe use it to climb my way out of class,3,3,2,5
50335,38,2,rope,on my friends mom to keep her in control,2,3,2,4
50336,38,2,rope,possibly the leash that I am on,4,1,2,3
50337,38,2,rope,to have my girlfriend tie me down with,1,3,2,3
50338,39,2,rope,a animal leash,2,1,1,2
50339,39,2,rope,play jump the creek,1,2,1,3
50340,39,2,rope,use it as a harness to climb something like a tree,3,1,1,3
50341,39,2,rope,use it as a swing,2,1,1,2
50342,40,2,rope,a Long to trip someone,2,1,1,1
50343,40,2,rope,A tied to a helicopter  which would be over a building and you be able to walk sideways on the 4 walls of the building,3,4,3,4
50344,40,2,rope,Tie a lot of bulls together in order to pull a mobile home,2,5,1,3
50345,42,2,rope,belt,2,1,1,2
50346,42,2,rope,drag something,2,1,1,3
50347,42,2,rope,fake tail,2,2,2,3
50348,42,2,rope,hair,2,1,2,3
50349,42,2,rope,hold down something while riding,2,1,1,2
50350,42,2,rope,net,2,1,1,3
50351,42,2,rope,shoe laces,2,1,1,3
50352,42,2,rope,whip,2,1,1,2
50353,43,2,rope,you can tie it to things and pull them around,2,1,1,3
50354,43,2,rope,you can use it to measure curved objects,3,2,2,5
50355,43,2,rope,you can use it to trace certain shapes,3,2,2,4
50356,44,2,rope,accessories,1,1,1,3
50357,44,2,rope,bondage,2,1,1,2
50358,44,2,rope,decoration,1,1,1,2
50359,44,2,rope,fishing,2,1,1,1
50360,44,2,rope,fuse/wick,3,3,2,1
50361,44,2,rope,jewelry,2,2,2,3
50362,44,2,rope,knitting,3,3,2,1
50363,44,2,rope,net,2,1,1,1
50364,44,2,rope,noose,2,1,1,1
50365,44,2,rope,splatter paint,3,3,2,4
50366,44,2,rope,stilts,2,3,2,1
50367,44,2,rope,tight,1,1,1,1
50368,44,2,rope,tin can phone,1,1,2,1
50369,44,2,rope,whip,2,1,1,2
50370,45,2,rope,help to decorate a room,2,2,2,3
50371,45,2,rope,outlining a picture frame,3,3,2,3
50372,46,2,rope,a pully to cut the lights on and off,1,3,1,5
50373,46,2,rope,device to slide from one place to the next,2,2,1,5
50374,46,2,rope,fridge opener,2,2,2,5
50375,47,2,rope,if you unravel it you could use it as kindling for a fire,3,3,2,5
50376,47,2,rope,you cold use it to jump or exercise,1,1,1,2
50377,47,2,rope,you could use as a leash,2,1,1,2
50378,47,2,rope,you could use it as a clothing accessory or belt,2,1,1,3
50379,47,2,rope,you could use it as a weapon,1,1,1,4
50380,47,2,rope,you could use it as leverage to move something heavy,2,2,1,4
50381,47,2,rope,you could use it to climb something,2,1,1,2
50382,47,2,rope,you could use it to put your hair up,2,2,2,3
50383,47,2,rope,you could use it to tie something of yours down so that it would not get stolen,2,2,1,3
50384,47,2,rope,you could use it to tie things together,1,1,1,1
50385,47,2,rope,you could use it to tie up something to swing on,2,1,1,2
50386,48,2,rope,as a scarf,3,2,2,4
50387,48,2,rope,dancing,1,1,2,4
50388,48,2,rope,dog leash,2,1,1,3
50389,48,2,rope,exercise,2,1,1,3
50390,48,2,rope,gym class,2,1,1,3
50391,48,2,rope,hanging,2,1,1,3
50392,48,2,rope,jump,1,1,1,3
50393,48,2,rope,leashing your child in public,2,1,1,4
50394,48,2,rope,pulling a car,1,1,1,4
50395,48,2,rope,pulling a wagon,2,1,1,3
50396,48,2,rope,tug of war,1,1,1,3
50397,48,2,rope,using it to fetch your remote  etc. across the room,2,3,1,4
50398,49,2,rope,become Tarzan and swing like a monkey from branch to branch,2,1,2,4
